#node1	node2
hsa_circ_000004	hsa-mir-96
hsa_circ_000004	hsa-mir-454
hsa_circ_000004	hsa-mir-378c
hsa_circ_000004	hsa-mir-301a
hsa_circ_000004	hsa-mir-135b
hsa_circ_000004	hsa-mir-130b
hsa_circ_000005	hsa-mir-93
hsa_circ_000006	hsa-mir-31
hsa_circ_000006	hsa-mir-204
hsa_circ_000006	hsa-mir-193b
hsa_circ_000011	hsa-mir-183
hsa_circ_000014	hsa-mir-503
hsa_circ_000014	hsa-mir-424
hsa_circ_000014	hsa-mir-206
hsa_circ_000014	hsa-mir-205
hsa_circ_000014	hsa-mir-195
hsa_circ_000014	hsa-mir-143
hsa_circ_000014	hsa-mir-135b
hsa_circ_000024	hsa-mir-431
hsa_circ_000024	hsa-mir-133b
hsa_circ_000044	hsa-mir-503
hsa_circ_000044	hsa-mir-424
hsa_circ_000044	hsa-mir-195
hsa_circ_000139	hsa-mir-206
hsa_circ_000139	hsa-mir-205
hsa_circ_000139	hsa-mir-136
hsa_circ_000139	hsa-let-7c
hsa_circ_000161	hsa-mir-708
hsa_circ_000161	hsa-mir-30a
hsa_circ_000161	hsa-mir-136
hsa_circ_000182	hsa-mir-431
hsa_circ_000218	hsa-mir-376c
hsa_circ_000218	hsa-mir-208b
hsa_circ_000218	hsa-mir-1301
hsa_circ_000226	hsa-mir-379
hsa_circ_000226	hsa-mir-196b
hsa_circ_000226	hsa-let-7c
hsa_circ_000270	hsa-mir-495
hsa_circ_000273	hsa-mir-944
hsa_circ_000273	hsa-mir-93
hsa_circ_000273	hsa-mir-495
hsa_circ_000273	hsa-mir-4326
hsa_circ_000273	hsa-mir-410
hsa_circ_000273	hsa-mir-381
hsa_circ_000273	hsa-mir-208b
hsa_circ_000273	hsa-mir-205
hsa_circ_000273	hsa-mir-18a
hsa_circ_000314	hsa-mir-4326
hsa_circ_000314	hsa-mir-432
hsa_circ_000341	hsa-mir-378c
hsa_circ_000433	hsa-mir-431
hsa_circ_000433	hsa-mir-205
hsa_circ_000448	hsa-mir-431
hsa_circ_000448	hsa-mir-204
hsa_circ_000467	hsa-mir-944
hsa_circ_000467	hsa-mir-495
hsa_circ_000467	hsa-mir-432
hsa_circ_000467	hsa-mir-379
hsa_circ_000489	hsa-mir-432
hsa_circ_000489	hsa-mir-431
hsa_circ_000489	hsa-mir-205
hsa_circ_000505	hsa-mir-29c
hsa_circ_000505	hsa-mir-29a
hsa_circ_000555	hsa-mir-204
hsa_circ_000555	hsa-mir-18a
hsa_circ_000555	hsa-mir-1301
hsa_circ_000556	hsa-mir-206
hsa_circ_000556	hsa-mir-143
hsa_circ_000568	hsa-mir-503
hsa_circ_000568	hsa-mir-431
hsa_circ_000568	hsa-mir-424
hsa_circ_000568	hsa-mir-411
hsa_circ_000568	hsa-mir-195
hsa_circ_000634	hsa-mir-224
hsa_circ_000636	hsa-mir-431
hsa_circ_000713	hsa-mir-375
hsa_circ_000719	hsa-mir-378c
hsa_circ_000719	hsa-mir-18a
hsa_circ_000755	hsa-mir-4326
hsa_circ_000755	hsa-mir-133b
hsa_circ_000783	hsa-mir-205
hsa_circ_000859	hsa-mir-431
hsa_circ_000859	hsa-mir-411
hsa_circ_000859	hsa-let-7c
hsa_circ_000887	hsa-mir-96
hsa_circ_000897	hsa-mir-29c
hsa_circ_000897	hsa-mir-29a
hsa_circ_000977	hsa-mir-708
hsa_circ_000977	hsa-mir-196b
hsa_circ_000977	hsa-mir-135b
hsa_circ_000998	hsa-mir-4326
hsa_circ_001027	hsa-mir-205
hsa_circ_001033	hsa-let-7c
hsa_circ_001093	hsa-mir-454
hsa_circ_001093	hsa-mir-301a
hsa_circ_001093	hsa-mir-18a
hsa_circ_001093	hsa-mir-130b
hsa_circ_001094	hsa-mir-143
hsa_circ_001123	hsa-mir-432
hsa_circ_001123	hsa-mir-411
hsa_circ_001123	hsa-mir-183
hsa_circ_001123	hsa-mir-1301
hsa_circ_001125	hsa-mir-205
hsa_circ_001235	hsa-mir-224
hsa_circ_001235	hsa-mir-136
hsa_circ_001345	hsa-mir-944
hsa_circ_001345	hsa-mir-495
hsa_circ_001345	hsa-mir-432
hsa_circ_001345	hsa-mir-379
hsa_circ_001447	hsa-mir-224
hsa_circ_001524	hsa-mir-378c
hsa_circ_001524	hsa-mir-136
hsa_circ_001529	hsa-mir-503
hsa_circ_001529	hsa-mir-432
hsa_circ_001529	hsa-mir-424
hsa_circ_001529	hsa-mir-195
hsa_circ_001536	hsa-mir-503
hsa_circ_001536	hsa-mir-4326
hsa_circ_001536	hsa-mir-424
hsa_circ_001536	hsa-mir-377
hsa_circ_001536	hsa-mir-224
hsa_circ_001536	hsa-mir-206
hsa_circ_001536	hsa-mir-205
hsa_circ_001536	hsa-mir-195
hsa_circ_001536	hsa-mir-143
hsa_circ_001536	hsa-mir-136
hsa_circ_001536	hsa-mir-135b
hsa_circ_001536	hsa-mir-1293
hsa_circ_001536	hsa-let-7c
hsa_circ_001564	hsa-mir-93
hsa_circ_001564	hsa-mir-495
hsa_circ_001564	hsa-mir-431
hsa_circ_001564	hsa-mir-381
hsa_circ_001564	hsa-mir-136
hsa_circ_001571	hsa-mir-378c
hsa_circ_001584	hsa-mir-375
hsa_circ_001584	hsa-mir-224
hsa_circ_001584	hsa-mir-143
hsa_circ_001584	hsa-mir-135b
hsa_circ_001585	hsa-mir-224
hsa_circ_001589	hsa-mir-208b
hsa_circ_001596	hsa-mir-708
hsa_circ_001608	hsa-mir-18a
hsa_circ_001608	hsa-mir-1307
hsa_circ_001637	hsa-mir-29c
hsa_circ_001637	hsa-mir-29a
hsa_circ_001637	hsa-mir-205
hsa_circ_001650	hsa-mir-136
hsa_circ_001713	hsa-mir-224
hsa_circ_001719	hsa-mir-708
hsa_circ_001719	hsa-mir-375
hsa_circ_001719	hsa-mir-205
hsa_circ_001758	hsa-mir-224
hsa_circ_001758	hsa-mir-135b
hsa_circ_001824	hsa-mir-193b
hsa_circ_001831	hsa-mir-205
hsa_circ_001834	hsa-mir-503
hsa_circ_001834	hsa-mir-424
hsa_circ_001834	hsa-mir-375
hsa_circ_001834	hsa-mir-195
hsa_circ_001852	hsa-mir-381
hsa_circ_001852	hsa-mir-206
hsa_circ_001891	hsa-mir-135b
hsa_circ_001894	hsa-mir-136
hsa_circ_001895	hsa-mir-224
hsa_circ_001903	hsa-mir-205
hsa_circ_001909	hsa-mir-1307
hsa_circ_001943	hsa-let-7c
hsa_circ_001965	hsa-mir-378c
hsa_circ_001988	hsa-mir-196b
hsa_circ_002009	hsa-mir-30a
hsa_circ_002009	hsa-mir-204
hsa_circ_002027	hsa-mir-135b
hsa_circ_002036	hsa-mir-136
hsa_circ_002038	hsa-mir-503
hsa_circ_002038	hsa-mir-424
hsa_circ_002038	hsa-mir-195
hsa_circ_002045	hsa-mir-93
hsa_circ_002045	hsa-mir-376c
hsa_circ_002048	hsa-mir-205
hsa_circ_002064	hsa-mir-503
hsa_circ_002064	hsa-mir-4326
hsa_circ_002064	hsa-mir-424
hsa_circ_002064	hsa-mir-195
hsa_circ_002064	hsa-mir-136
hsa_circ_002065	hsa-mir-377
hsa_circ_002070	hsa-mir-495
hsa_circ_002070	hsa-mir-183
hsa_circ_002079	hsa-mir-503
hsa_circ_002079	hsa-mir-4326
hsa_circ_002079	hsa-mir-424
hsa_circ_002079	hsa-mir-411
hsa_circ_002079	hsa-mir-377
hsa_circ_002079	hsa-mir-29c
hsa_circ_002079	hsa-mir-29a
hsa_circ_002079	hsa-mir-195
hsa_circ_002079	hsa-mir-136
hsa_circ_002092	hsa-mir-377
hsa_circ_002092	hsa-mir-30a
hsa_circ_002092	hsa-mir-224
hsa_circ_002097	hsa-mir-96
hsa_circ_002097	hsa-mir-224
hsa_circ_002103	hsa-mir-93
hsa_circ_002103	hsa-mir-205
hsa_circ_002103	hsa-mir-1301
hsa_circ_002130	hsa-mir-4326
hsa_circ_002132	hsa-mir-375
hsa_circ_002140	hsa-mir-135b
hsa_circ_002151	hsa-mir-431
hsa_circ_002151	hsa-mir-29c
hsa_circ_002151	hsa-mir-29a
hsa_circ_002178	hsa-mir-378c
hsa_circ_002178	hsa-mir-183
hsa_circ_002178	hsa-mir-136
